

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [5]

RUN: run status: enemy: 5; fitness: -103.80775527898211; player life: 31.000000000000263; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.5693574474123; player life: 35.20000000000027; enemy life: 0; time: 384

RUN: run status: enemy: 5; fitness: -98.64775527898212; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -101.1077552789821; player life: 58.00000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -99.18775527898211; player life: 77.20000000000022; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.17921377653416; player life: 30.40000000000026; enemy life: 0; time: 351

RUN: run status: enemy: 5; fitness: -106.65157187358973; player life: 0; enemy life: 100; time: 774

RUN: run status: enemy: 5; fitness: 88.70528862039819; player life: 43.00000000000029; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: -101.5877552789821; player life: 53.200000000000315; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -100.7477552789821; player life: 61.600000000000335; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 91.00791083107562; player life: 70.60000000000028; enemy life: 0; time: 425

RUN: run status: enemy: 5; fitness: -106.90073066404517; player life: 0; enemy life: 100; time: 993

RUN: run status: enemy: 5; fitness: -99.12775527898212; player life: 77.80000000000021; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -102.4877552789821; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.84481547920826; player life: 0; enemy life: 100; time: 939

RUN: run status: enemy: 5; fitness: -106.13556489108174; player life: 0; enemy life: 100; time: 462

