

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 8

current enemy: 8

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [8]

RUN: run status: enemy: 8; fitness: -105.21493575760898; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 8; fitness: -86.4510384535657; player life: 0; enemy life: 90.0; time: 233

RUN: run status: enemy: 8; fitness: -105.40717177146011; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 8; fitness: -86.48063892334198; player life: 0; enemy life: 90.0; time: 240

RUN: run status: enemy: 8; fitness: -105.3082676974012; player life: 0; enemy life: 100; time: 202

RUN: run status: enemy: 8; fitness: -86.88610403145016; player life: 0; enemy life: 90.0; time: 360

RUN: run status: enemy: 8; fitness: -86.28320372873799; player life: 0; enemy life: 90.0; time: 197

RUN: run status: enemy: 8; fitness: -105.77455154554441; player life: 0; enemy life: 100; time: 322

RUN: run status: enemy: 8; fitness: -105.29330482472449; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 8; fitness: -105.78382518232974; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 8; fitness: -105.97888576490112; player life: 0; enemy life: 100; time: 395

RUN: run status: enemy: 8; fitness: -105.18738580584076; player life: 0; enemy life: 100; time: 179

RUN: run status: enemy: 8; fitness: -105.37063802812766; player life: 0; enemy life: 100; time: 215

RUN: run status: enemy: 8; fitness: -105.70711026474888; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 8; fitness: -86.25749537202778; player life: 0; enemy life: 90.0; time: 192

RUN: run status: enemy: 8; fitness: -105.38907172981651; player life: 0; enemy life: 100; time: 219

RUN: run status: enemy: 8; fitness: -86.27811465923051; player life: 0; enemy life: 90.0; time: 196

RUN: run status: enemy: 8; fitness: -86.44673737166632; player life: 0; enemy life: 90.0; time: 232

